lat,lon,dep,x,y,mag
40.7455,-112.0491667,8.39,14.638764,8.390000,0.63
40.7226667,-112.1021667,10.34,9.692230,10.340000,0.79
40.7351667,-112.0826667,9.6,11.619523,9.600000,1
40.7418333,-112.069,8.2,12.915309,8.200000,0.9
40.7646667,-111.966,6.71,21.963135,6.710000,0.4
40.755,-112.0791667,7.81,12.424761,7.810000,0.12
40.7893333,-111.9755,5.79,21.824558,5.790000,0.54
40.7325,-112.0501667,7.97,14.217655,7.970000,0.54
40.7316667,-112.0581667,7.21,13.539208,7.210000,1.04
40.7353333,-112.0515,7.26,14.182101,7.260000,0.54
40.7736667,-112.0911667,9.36,11.927894,9.360000,0.95
40.7673333,-112.0871667,9.8,12.090546,9.800000,0.25
40.7358333,-112.0586667,8.12,13.606871,8.120000,0.34
40.717,-112.0933333,11.24,10.269290,11.240000,0.6
40.7721667,-112.119,6.99,9.605572,6.990000,0.54
40.774,-112.0951667,9.23,11.608488,9.230000,0.81
40.7513333,-112.0738333,9,12.766662,9.000000,1.15
40.7355,-112.0653333,9.15,13.050961,9.150000,1.01
40.7416667,-112.0621667,10.21,13.471800,10.210000,1.76
40.7475,-112.0526667,9.06,14.403674,9.060000,1.35
40.738,-112.0461667,10.22,14.689423,10.220000,1.51
40.7283333,-112.0485,10.22,14.245816,10.220000,1.07
40.7361667,-112.0446667,10.12,14.764749,10.120000,0.87
40.755,-112.0448333,8.47,15.242119,8.470000,0.9
40.7278333,-112.0526667,4.99,13.890713,4.990000,0.77
40.7358333,-112.0523333,10.12,14.126741,10.120000,1.48
40.7296667,-112.0705,8.6,12.474594,8.600000,0.53
40.744,-112.0461667,9.71,14.845872,9.710000,1.17
40.7881667,-112.1846667,3.28,4.639627,3.280000,0.32
40.7363333,-112.0686667,9.91,12.799101,9.910000,0.56
40.7526667,-111.9585,4.02,22.267040,4.020000,0.64
40.728,-112.0821667,8.57,11.473376,8.570000,-0.25
40.7545,-112.0863333,4.16,11.823647,4.160000,0.68
40.7243333,-112.067,7.56,12.622702,7.560000,0.61
40.7428333,-111.9503333,8.28,22.682156,8.280000,0.42
40.7185,-112.0951667,9.61,10.157972,9.610000,0.28
40.752,-112.0531667,6.84,14.480016,6.840000,0.77
40.7431667,-112.0521667,8.95,14.331687,8.950000,0.72
40.7303333,-112.0431667,8.57,14.735796,8.570000,1
40.7276667,-112.0488333,9.71,14.201071,9.710000,0.83
40.7438333,-112.0428333,8.63,15.115118,8.630000,0.78
40.7363333,-112.0738333,8.65,12.375026,8.650000,1.02
40.7481667,-112.0498333,8.04,14.653600,8.040000,0.56
40.8111667,-111.9768333,8.23,22.282652,8.230000,0.32
40.8031667,-111.9775,5.16,22.020042,5.160000,0.51
40.8056667,-111.9855,4.65,21.428915,4.650000,1.31
40.735,-112.0413333,10.67,15.007960,10.670000,0.17
40.7805,-112.0411667,4.49,16.207782,4.490000,1.79
40.7645,-112.0505,12.32,15.024866,12.320000,0.41
40.7518333,-112.036,8.12,15.884477,8.120000,0.14
40.7478333,-112.0641667,8.64,13.468581,8.640000,0.16
40.8056667,-111.9821667,4.2,21.702288,4.200000,0.83
40.7421667,-112.0615,8.55,13.539567,8.550000,0.73
40.7335,-112.0963333,10.63,10.454241,10.630000,0.26
40.7836667,-111.9516667,7.92,23.632673,7.920000,0.96
40.7306667,-112.0315,10.3,15.702255,10.300000,0.65
40.7306667,-112.0308333,9.72,15.756988,9.720000,0.1
40.7375,-112.0598333,8.52,13.554599,8.520000,0.7
40.7358333,-112.0433333,9.74,14.865510,9.740000,0.67
40.7613333,-112.0925,10.76,11.496218,10.760000,0.48
40.7265,-112.0888333,10.69,10.886943,10.690000,0.5
40.769,-112.0795,10.21,12.763044,10.210000,0.79
40.771,-112.0768333,10.53,13.034042,10.530000,1.14
40.7356667,-112.089,10.29,11.112761,10.290000,0.45
40.7626667,-112.111,5.94,10.013305,5.940000,-0.19
40.7301667,-112.0756667,9.61,12.063527,9.610000,0.66
40.7971667,-111.9936667,6.11,20.538052,6.110000,0.81
40.7428333,-112.0603333,10.05,13.652717,10.050000,0.14
40.7111667,-111.9308333,7.1,23.461915,7.100000,0.95
40.693,-112.067,10.38,11.804919,10.380000,0.35
40.7285,-112.0635,8.56,13.018771,8.560000,1.1
40.7936667,-111.9898333,3.44,20.761449,3.440000,0.31
40.7413333,-112.0676667,8.83,13.011687,8.830000,0.76
40.741,-112.0683333,8.66,12.948277,8.660000,1.04
40.7386667,-112.089,8.76,11.191143,8.760000,0.05
40.738,-112.0676667,8.08,12.924684,8.080000,0.7
40.731,-112.0698333,8.86,12.564126,8.860000,1.25
40.714,-112.0635,10.54,12.640385,10.540000,0.87
40.7256667,-112.095,8.89,10.358955,8.890000,0.36
40.7558333,-111.9725,5.67,21.200172,5.670000,0.84
40.7793333,-112.076,7.88,13.320008,7.880000,0
